Date / Time,CPU Usage %,Temperature C
2023-03-28 19:29:16.740408,0.1,46.7
2023-03-28 19:29:27.294111,0.2,45.2
2023-03-28 19:29:37.885467,0.3,45.2
2023-03-28 19:29:48.424115,0.2,46.2
2023-03-28 19:29:58.960446,0.2,46.7
2023-03-28 19:30:09.706002,1,47.7
2023-03-28 19:30:20.277654,0.3,45.7
2023-03-28 19:30:30.958180,0.2,46.2
2023-03-28 19:30:41.505711,0.3,46.7
2023-03-28 19:30:52.051976,0.3,46.2
2023-03-28 19:31:02.593476,0.3,45.7
2023-03-28 19:31:13.134246,0.7,46.2
2023-03-28 19:31:23.682919,0.3,46.2
2023-03-28 19:31:34.245886,0.2,45.2
2023-03-28 19:31:44.811046,0.2,45.7
2023-03-28 19:31:55.506940,0.2,45.2
2023-03-28 19:32:06.178563,0.9,46.2
2023-03-28 19:32:16.722840,0.2,46.2
2023-03-28 19:32:27.317193,0.2,46.7
2023-03-28 19:32:37.906632,0.2,45.2
2023-03-28 19:32:48.486892,0.3,46.7
2023-03-28 19:32:59.021378,0.2,46.2
2023-03-28 19:33:09.581026,0.9,46.2
2023-03-28 19:33:20.365103,0.2,46.2
2023-03-28 19:33:30.938878,0.3,45.7
2023-03-28 19:33:41.489265,0.2,46.2
2023-03-28 19:33:52.023184,0.3,45.7
2023-03-28 19:34:02.576725,0.5,47.2
2023-03-28 19:34:13.136322,0.5,46.7
2023-03-28 19:34:23.823830,0.3,47.2
2023-03-28 19:34:34.353408,0.3,46.2
2023-03-28 19:34:44.903728,0.2,45.7
2023-03-28 19:34:55.473629,0.3,46.7
2023-03-28 19:35:06.142532,0.9,47.2
2023-03-28 19:35:16.641483,0.2,46.7
2023-03-28 19:35:27.174444,0.3,45.7
2023-03-28 19:35:37.736137,0.3,45.7
2023-03-28 19:35:48.297557,0.2,47.2
2023-03-28 19:35:58.956102,0.3,47.2
2023-03-28 19:36:09.523764,0.9,46.7
2023-03-28 19:36:20.056330,0.2,47.7
2023-03-28 19:36:30.616527,0.2,45.7
2023-03-28 19:36:41.175068,0.3,46.7
2023-03-28 19:36:51.732602,0.3,47.2
2023-03-28 19:37:02.320264,0.4,46.2
2023-03-28 19:37:12.881813,0.6,46.7
2023-03-28 19:37:23.418469,0.3,45.2
2023-03-28 19:37:33.946872,0.2,46.2
2023-03-28 19:37:44.890303,0.3,45.2
2023-03-28 19:37:55.484747,0.3,45.7
2023-03-28 19:38:06.039919,0.9,46.7
2023-03-28 19:38:16.642946,0.2,45.7
2023-03-28 19:38:27.222997,0.2,46.2
2023-03-28 19:38:37.768829,0.3,46.7
2023-03-28 19:38:48.341845,0.2,46.7
2023-03-28 19:38:58.905286,0.3,46.2
2023-03-28 19:39:09.471233,1.4,45.2
2023-03-28 19:39:20.032280,0.3,45.7
2023-03-28 19:39:30.559403,0.2,46.7
2023-03-28 19:39:41.172053,0.3,46.7
2023-03-28 19:39:51.723552,0.3,45.7
2023-03-28 19:40:02.251051,0.4,45.7
2023-03-28 19:40:12.837725,0.7,45.7
2023-03-28 19:40:23.367774,0.3,45.7
2023-03-28 19:40:33.919880,0.3,47.2
2023-03-28 19:40:44.477677,0.2,46.2
2023-03-28 19:40:55.025499,0.3,46.2
2023-03-28 19:41:06.127993,0.9,47.2
2023-03-28 19:41:16.846723,0.1,46.7
2023-03-28 19:41:27.412336,0.2,46.2
2023-03-28 19:41:37.987453,0.3,47.2
2023-03-28 19:41:48.535073,0.2,46.7
2023-03-28 19:41:59.104004,0.3,46.7
2023-03-28 19:42:09.669039,0.9,46.7
2023-03-28 19:42:20.201578,0.3,46.7
2023-03-28 19:42:30.971357,0.3,46.2
2023-03-28 19:42:41.524391,0.2,46.7
2023-03-28 19:42:52.097740,0.3,45.7
2023-03-28 19:43:02.665985,0.4,45.2
2023-03-28 19:43:13.216416,0.7,46.7
2023-03-28 19:43:23.784655,0.3,46.2
2023-03-28 19:43:34.477606,0.2,45.7
2023-03-28 19:43:45.145400,0.3,45.2
2023-03-28 19:43:55.712482,0.3,45.7
2023-03-28 19:44:06.266170,0.9,46.2
2023-03-28 19:44:16.860035,0.2,46.7
2023-03-28 19:44:27.411637,0.2,45.7
2023-03-28 19:44:37.964727,0.3,45.2
2023-03-28 19:44:48.573884,0.2,46.7
2023-03-28 19:44:59.120272,0.3,46.2
2023-03-28 19:45:09.677909,0.9,45.7
2023-03-28 19:45:20.220225,0.3,47.2
2023-03-28 19:45:30.784118,0.3,46.2
2023-03-28 19:45:41.326129,0.2,46.2
2023-03-28 19:45:52.399095,0.3,45.7
2023-03-28 19:46:02.963137,0.6,45.7
2023-03-28 19:46:13.533069,0.7,47.2
2023-03-28 19:46:24.126150,0.2,45.7
2023-03-28 19:46:34.688045,0.3,45.7
2023-03-28 19:46:45.511070,0.6,47.2
2023-03-28 19:46:56.066934,0.3,45.2
2023-03-28 19:47:06.992958,1.1,47.2
2023-03-28 19:47:18.014937,0.2,46.7
2023-03-28 19:47:28.929243,0.2,45.7
2023-03-28 19:47:39.935052,0.3,46.2
2023-03-28 19:47:50.692328,0.3,46.2
2023-03-28 19:48:01.643457,0.4,45.2
2023-03-28 19:48:12.526672,0.7,45.7
2023-03-28 19:48:23.174882,0.3,45.7
2023-03-28 19:48:33.951812,0.3,45.7
2023-03-28 19:48:44.732679,0.2,46.7
2023-03-28 19:48:55.685018,0.2,46.2
2023-03-28 19:49:06.467473,0.9,46.2
2023-03-28 19:49:17.446761,0.2,46.2
2023-03-28 19:49:28.245240,0.3,45.7
2023-03-28 19:49:38.957197,0.3,46.2
2023-03-28 19:49:49.773052,0.3,46.2
2023-03-28 19:50:00.439876,0.3,45.7
2023-03-28 19:50:11.176131,0.7,46.7
2023-03-28 19:50:21.948482,0.3,45.7
2023-03-28 19:50:32.732843,0.3,45.7
2023-03-28 19:50:43.405280,0.2,45.7
2023-03-28 19:50:54.235799,0.3,46.2
2023-03-28 19:51:04.911033,0.7,46.2
